class,trial,target,detect_ms,recover_ms,path
stop,78,plant,79.585,289.585,DETECT_DEADLINE
stop,79,controller,82.357,292.373,DETECT_DEADLINE
stop,80,logger,56.545,276.587,DETECT_DEADLINE
stop,81,plant,10.311,220.287,DETECT_DEADLINE
stop,82,controller,73.641,283.621,DETECT_DEADLINE
stop,83,logger,59.085,279.120,DETECT_DEADLINE
stop,84,plant,102.954,322.973,DETECT_DEADLINE
stop,85,controller,94.579,314.551,DETECT_DEADLINE
stop,86,logger,61.037,281.087,DETECT_DEADLINE
stop,87,plant,6.538,226.535,DETECT_DEADLINE
stop,88,controller,71.113,281.105,DETECT_DEADLINE
stop,89,logger,65.511,285.488,DETECT_DEADLINE
stop,90,plant,11.387,221.368,DETECT_DEADLINE
stop,91,controller,63.984,274.067,DETECT_DEADLINE
stop,92,logger,105.003,314.991,DETECT_DEADLINE
stop,93,plant,12.446,222.437,DETECT_DEADLINE
stop,94,controller,65.704,285.698,DETECT_DEADLINE
stop,95,logger,70.969,280.959,DETECT_DEADLINE
stop,96,plant,5.683,225.691,DETECT_DEADLINE
stop,97,controller,69.849,279.841,DETECT_DEADLINE
stop,98,logger,63.938,274.054,DETECT_DEADLINE
stop,99,plant,77.518,287.517,DETECT_DEADLINE
stop,100,controller,72.867,292.821,DETECT_DEADLINE
stall,1,controller,37.248,257.204,DETECT_DEADLINE
stall,2,logger,44.056,254.026,DETECT_DEADLINE
stall,3,plant,50.218,270.272,DETECT_DEADLINE
stall,4,controller,87.569,297.653,DETECT_DEADLINE
stall,5,logger,54.624,264.649,DETECT_DEADLINE
stall,6,plant,71.532,291.505,DETECT_DEADLINE
stall,7,controller,58.783,268.883,DETECT_DEADLINE
stall,8,logger,54.977,265.000,DETECT_DEADLINE
stall,9,plant,80.949,290.965,DETECT_DEADLINE
stall,10,controller,58.529,268.645,DETECT_DEADLINE
stall,11,logger,62.702,272.750,DETECT_DEADLINE
stall,12,plant,58.479,278.514,DETECT_DEADLINE
stall,13,controller,34.740,244.799,DETECT_DEADLINE
stall,14,logger,29.293,239.385,DETECT_DEADLINE
stall,15,plant,94.672,314.647,DETECT_DEADLINE
stall,16,controller,32.792,242.857,DETECT_DEADLINE
stall,17,logger,27.470,237.569,DETECT_DEADLINE
stall,18,plant,38.305,258.255,DETECT_DEADLINE
stall,19,controller,23.666,233.694,DETECT_DEADLINE
stall,20,logger,48.466,268.509,DETECT_DEADLINE
